transaction_id,transaction_date,amount,payment_method,customer_id,product_id,Date_ID
174,3/17/2024,4,Cash,215,840,7
175,2/3/2024,2,Gift,1479,416,843
176,2/4/2024,5,Gift,602,610,672
177,2/17/2024,1,Gift,955,30,642
178,3/11/2024,5,Debit Card,599,28,655
179,8/29/2024,1,Cash,1126,894,605
180,11/15/2023,1,Debit Card,501,776,387
181,12/10/2023,2,Cash,1166,939,249
182,3/6/2024,1,Credit Card,10,756,17
183,6/9/2024,5,AutopayMobile Payment,841,852,374
184,7/30/2024,2,Cash,1865,914,124
185,4/22/2024,4,Gift,1904,913,560
186,10/8/2023,5,Cash,374,127,750
187,1/13/2024,3,Cash,1621,229,914
188,8/30/2024,1,Credit Card,548,60,423
189,2/29/2024,4,Debit Card,666,769,232
190,,3,Debit Card,1181,121,720
191,4/2/2024,2,Gift,871,928,269
192,5/23/2024,4,Credit Card,210,160,955
193,3/11/2024,2,Cash,1190,87,94
194,9/9/2024,2,AutopayMobile Payment,1487,192,448
195,,4,AutopayMobile Payment,1022,205,261
196,,5,Cash,655,39,472
197,7/2/2024,3,Credit Card,650,128,207
198,7/5/2024,3,Credit Card,142,328,832
199,10/19/2023,2,AutopayMobile Payment,142,687,503
200,2/24/2024,3,Cash,84,924,341
201,1/4/2024,4,Debit Card,890,587,789
202,9/27/2023,3,Debit Card,721,642,171
203,4/15/2024,4,Debit Card,1896,96,552
204,10/20/2023,2,Debit Card,590,473,582
205,5/14/2024,5,Credit Card,69,157,499
206,10/8/2023,5,Gift,1270,134,872
207,4/8/2024,2,Cash,446,609,390
208,9/27/2023,2,AutopayMobile Payment,709,578,144
209,11/1/2023,2,,1491,678,645
210,1/10/2024,1,AutopayMobile Payment,1196,583,82
211,2/11/2024,2,AutopayMobile Payment,1806,219,361
212,10/16/2023,1,,560,974,672
213,3/10/2024,5,AutopayMobile Payment,1355,120,521
214,9/14/2024,4,AutopayMobile Payment,1355,293,593
215,6/5/2024,4,Debit Card,1004,432,783
216,1/30/2024,4,Debit Card,730,511,381
217,8/22/2024,1,Credit Card,90,320,466
218,10/2/2023,5,Debit Card,326,176,750
219,3/22/2024,4,AutopayMobile Payment,1592,520,23
220,5/14/2024,5,AutopayMobile Payment,122,789,215
221,2/2/2024,2,AutopayMobile Payment,551,109,245
222,10/1/2023,3,Debit Card,1148,288,797
223,4/28/2024,3,Debit Card,1844,729,836
224,6/28/2024,5,Credit Card,59,912,711
225,10/7/2023,3,Debit Card,174,995,759
226,12/9/2023,4,Cash,1827,212,85
227,12/11/2023,4,Credit Card,519,299,853
228,9/25/2023,5,Cash,982,581,521
229,10/8/2023,4,Debit Card,726,569,694
230,5/14/2024,2,Gift,1791,969,56
231,10/22/2023,,Credit Card,463,532,862
232,1/12/2024,2,AutopayMobile Payment,1114,159,276
233,3/13/2024,4,Gift,46,85,795
234,3/21/2024,3,Gift,1377,711,803
235,7/3/2024,2,Credit Card,274,895,306
236,8/2/2024,5,AutopayMobile Payment,821,301,513
237,11/14/2023,3,Cash,439,494,822
238,5/8/2024,3,Gift,879,834,515
239,7/5/2024,4,Debit Card,278,12,326
240,3/19/2024,4,AutopayMobile Payment,1833,46,591
241,3/11/2024,4,Credit Card,1082,554,714
242,11/2/2023,4,,772,657,786
243,8/11/2024,3,Credit Card,1470,185,870
244,3/24/2024,5,Cash,654,63,115
245,5/26/2024,1,Debit Card,828,703,265
246,2/15/2024,2,Gift,721,291,488
247,3/19/2024,4,Gift,586,265,414
248,9/2/2024,3,Debit Card,35,475,831
249,12/1/2023,3,Debit Card,1268,976,259
250,4/30/2024,4,Credit Card,994,970,221
251,2/18/2024,2,Credit Card,1381,495,566
252,6/21/2024,5,AutopayMobile Payment,1851,47,902
253,5/2/2024,1,Credit Card,1501,38,910
254,12/27/2023,5,Cash,388,761,624
255,4/19/2024,3,Credit Card,1797,576,392
256,9/10/2024,1,AutopayMobile Payment,614,110,649
257,5/14/2024,2,Credit Card,1977,553,239
258,8/16/2024,4,AutopayMobile Payment,1033,517,20
259,5/1/2024,2,AutopayMobile Payment,927,985,417
260,1/16/2024,5,AutopayMobile Payment,1,54,453
261,4/15/2024,5,Credit Card,1456,746,985
262,2/28/2024,4,Debit Card,1438,448,943
263,5/22/2024,4,Gift,1938,325,690
264,,1,Debit Card,1360,679,867
265,10/30/2023,4,Gift,660,919,991
266,11/13/2023,1,AutopayMobile Payment,5,388,632
267,8/26/2024,3,Credit Card,997,602,149
268,8/5/2024,2,AutopayMobile Payment,1685,595,267
269,2/21/2024,3,Gift,590,148,705
270,6/8/2024,4,Cash,87,436,305
271,12/29/2023,1,Credit Card,264,794,266
272,11/8/2023,2,Credit Card,2,599,445
273,4/24/2024,4,Credit Card,1689,462,298
274,3/12/2024,2,Gift,791,102,678
275,9/29/2023,4,Gift,138,813,281
276,10/21/2023,3,Cash,317,454,998
277,2/6/2024,5,Gift,1305,841,221
278,6/30/2024,1,Gift,1002,386,820
279,8/17/2024,3,Credit Card,1362,550,398
280,1/23/2024,2,Gift,202,246,938
281,4/25/2024,4,Gift,618,429,435
282,1/12/2024,1,Gift,968,965,844
283,10/22/2023,4,Debit Card,1882,347,30
284,1/25/2024,4,Credit Card,391,893,361
285,7/11/2024,2,Cash,1577,34,422
286,9/5/2024,1,AutopayMobile Payment,1296,15,989
287,11/23/2023,3,Debit Card,1006,207,745
288,8/15/2024,3,Debit Card,649,913,96
289,8/28/2024,2,Credit Card,543,745,784
290,7/29/2024,4,Credit Card,205,473,141
291,11/1/2023,5,Credit Card,1658,521,350
292,10/28/2023,4,Credit Card,1354,872,998
293,4/27/2024,3,Cash,1946,584,560
294,,5,Debit Card,1651,175,274
295,8/21/2024,1,AutopayMobile Payment,1205,666,362
296,11/9/2023,1,,68,554,380
297,9/11/2024,1,Cash,1039,881,97
298,5/19/2024,2,Gift,1842,768,505
299,11/15/2023,1,Credit Card,243,688,466
300,8/21/2024,3,Cash,1253,255,5
301,,4,Debit Card,374,861,596
302,2/18/2024,4,Debit Card,698,820,852
303,12/7/2023,5,Debit Card,296,498,101
304,9/9/2024,1,Cash,1878,356,947
305,6/20/2024,1,Gift,897,464,894
306,8/23/2024,1,Credit Card,1384,645,600
307,2/11/2024,4,Debit Card,12,925,611
308,7/27/2024,2,Credit Card,96,667,880
309,7/19/2024,5,AutopayMobile Payment,732,908,376
310,6/2/2024,4,Gift,1394,602,790
311,4/5/2024,1,Debit Card,1956,142,139
312,7/25/2024,3,Credit Card,538,708,718
313,7/18/2024,2,AutopayMobile Payment,1250,798,464
314,5/14/2024,2,Debit Card,236,667,88
315,3/29/2024,4,AutopayMobile Payment,800,195,520
316,10/30/2023,3,AutopayMobile Payment,553,291,881
317,1/1/2024,4,Debit Card,1767,120,338
318,12/31/2023,3,Gift,1936,161,988
319,4/12/2024,,Debit Card,211,678,883
320,11/4/2023,4,Cash,1099,459,831
321,6/22/2024,4,Credit Card,767,370,117
322,5/28/2024,5,Debit Card,893,807,526
323,11/13/2023,3,Cash,1036,951,285
324,5/25/2024,5,Cash,479,543,149
325,2/21/2024,5,Gift,386,734,849
326,5/21/2024,4,AutopayMobile Payment,1476,891,265
327,2/15/2024,4,Gift,1750,673,92
328,1/18/2024,3,Debit Card,52,496,232
329,12/7/2023,4,,333,245,272
330,9/23/2024,3,AutopayMobile Payment,805,608,87
331,7/11/2024,5,Gift,630,797,506
332,2/23/2024,2,AutopayMobile Payment,393,799,130
333,1/3/2024,3,,833,96,353
334,10/27/2023,5,Gift,199,445,632
335,5/8/2024,4,AutopayMobile Payment,1752,287,912
336,11/27/2023,4,Cash,1951,930,916
337,4/17/2024,2,AutopayMobile Payment,224,564,863
338,10/5/2023,2,Debit Card,221,754,789
339,,4,AutopayMobile Payment,468,415,765
340,11/18/2023,,AutopayMobile Payment,1304,657,753
341,3/8/2024,5,Cash,793,408,741
342,11/24/2023,1,Cash,362,904,338
343,10/14/2023,1,Cash,1596,37,323
344,1/26/2024,1,AutopayMobile Payment,673,357,914
345,5/15/2024,2,Cash,1521,397,650
346,11/15/2023,5,AutopayMobile Payment,81,959,526
347,1/8/2024,3,Credit Card,1431,512,659
348,12/10/2023,,AutopayMobile Payment,610,890,700
349,11/29/2023,3,Debit Card,1971,921,221
350,3/2/2024,5,Gift,982,512,114
351,6/25/2024,3,Debit Card,582,121,742
352,12/24/2023,1,Gift,1470,355,433
353,11/12/2023,2,Cash,1961,642,931
354,10/14/2023,2,AutopayMobile Payment,826,251,371
355,7/18/2024,5,Credit Card,635,255,345
356,8/24/2024,3,Credit Card,879,644,222
357,11/20/2023,4,Gift,1083,662,63
358,10/22/2023,1,Credit Card,267,584,496
359,2/29/2024,3,AutopayMobile Payment,1281,396,308
360,6/6/2024,5,AutopayMobile Payment,190,696,472
361,3/17/2024,3,AutopayMobile Payment,1175,607,931
362,3/7/2024,1,Debit Card,1454,309,577
363,3/21/2024,4,Credit Card,1443,582,928
364,10/1/2023,1,,713,235,879
365,8/5/2024,5,Gift,1241,971,210
366,11/23/2023,5,Gift,1153,137,23
367,6/12/2024,4,Debit Card,1354,451,404
368,4/24/2024,2,Credit Card,401,123,559
369,9/6/2024,2,Credit Card,1831,578,641
370,8/24/2024,2,Gift,1909,342,558
371,7/29/2024,3,Credit Card,418,742,204
372,8/10/2024,5,Debit Card,1995,205,47
373,4/16/2024,1,Debit Card,621,551,192
374,7/15/2024,3,Credit Card,13,963,788
375,,4,Debit Card,1276,681,692
376,2/21/2024,5,AutopayMobile Payment,1191,276,709
377,1/12/2024,1,AutopayMobile Payment,55,240,250
378,6/20/2024,1,,466,341,555
379,4/15/2024,2,Debit Card,1683,4,154
380,6/3/2024,3,Credit Card,888,31,169
381,2/24/2024,3,Gift,1338,969,358
382,,4,,1255,155,76
383,6/14/2024,1,Debit Card,1305,232,159
384,5/14/2024,3,,1905,715,676
385,1/24/2024,2,Cash,966,532,406
386,9/3/2024,1,Cash,843,739,582
387,1/30/2024,5,Credit Card,1735,249,752
388,,5,Debit Card,1244,762,477
389,9/18/2024,1,AutopayMobile Payment,1509,653,551
390,4/9/2024,2,Credit Card,569,921,185
391,10/16/2023,5,AutopayMobile Payment,1496,648,802
392,1/17/2024,1,Credit Card,1179,146,781
393,6/30/2024,3,AutopayMobile Payment,123,536,704
394,,5,Credit Card,1749,560,348
395,11/28/2023,1,Cash,350,569,960
396,2/28/2024,1,AutopayMobile Payment,991,973,401
397,2/13/2024,2,Credit Card,999,835,579
398,7/27/2024,1,AutopayMobile Payment,1479,531,535
399,10/20/2023,,Gift,1375,707,317
400,4/4/2024,5,AutopayMobile Payment,497,7,651
401,6/8/2024,3,Gift,1395,365,419
402,1/18/2024,2,Credit Card,604,722,541
403,,3,Credit Card,1623,4,607
404,1/22/2024,3,AutopayMobile Payment,1509,700,925
405,2/12/2024,3,Credit Card,592,818,789
406,11/11/2023,1,Credit Card,1708,513,262
407,6/25/2024,3,AutopayMobile Payment,320,116,480
408,8/21/2024,2,Debit Card,1164,31,703
409,2/28/2024,1,AutopayMobile Payment,848,288,52
410,2/14/2024,4,Cash,1054,293,742
411,10/23/2023,1,Credit Card,285,708,283
412,1/16/2024,4,Credit Card,1264,16,274
413,1/7/2024,1,Gift,1699,438,66
414,8/30/2024,2,AutopayMobile Payment,65,476,383
415,8/11/2024,4,Gift,152,251,929
416,11/18/2023,1,AutopayMobile Payment,1302,490,169
417,2/7/2024,3,AutopayMobile Payment,1561,789,447
418,2/15/2024,4,Cash,1121,477,805
419,8/21/2024,3,Cash,1684,751,351
420,3/20/2024,2,Debit Card,1170,457,752
421,11/5/2023,4,AutopayMobile Payment,231,172,662
422,1/17/2024,4,Gift,1210,405,55
423,4/1/2024,1,Debit Card,891,92,176
424,3/20/2024,1,Cash,239,294,781
425,9/14/2024,3,Cash,388,205,842
426,8/6/2024,5,Gift,1068,434,727
427,9/3/2024,1,Cash,1162,227,698
428,8/16/2024,1,Cash,549,819,999
429,12/7/2023,3,Gift,891,531,166
430,9/2/2024,3,Credit Card,98,514,529
431,3/20/2024,4,Cash,1191,486,785
432,12/3/2023,1,Gift,863,472,62
433,4/30/2024,1,Credit Card,7,374,764
434,7/28/2024,4,AutopayMobile Payment,1087,436,437
435,2/14/2024,3,AutopayMobile Payment,923,736,400
436,4/11/2024,4,Credit Card,1755,530,76
437,9/10/2024,1,AutopayMobile Payment,832,851,171
438,8/24/2024,3,Cash,499,445,165
439,1/11/2024,4,Gift,1919,960,818
440,4/28/2024,5,AutopayMobile Payment,1418,139,712
441,8/31/2024,3,Credit Card,1997,263,1
442,4/27/2024,5,Credit Card,172,976,443
443,1/27/2024,5,Credit Card,1127,24,528
444,10/25/2023,5,AutopayMobile Payment,950,952,698
445,2/28/2024,1,Credit Card,156,297,374
446,9/13/2024,1,AutopayMobile Payment,569,196,848
447,9/29/2023,4,Credit Card,171,385,878
448,8/5/2024,5,Debit Card,224,39,116
449,10/31/2023,2,Debit Card,740,344,561
450,10/29/2023,3,Credit Card,1038,229,851
451,6/18/2024,3,Debit Card,334,310,66
452,9/9/2024,3,Debit Card,349,455,410
453,7/6/2024,2,Debit Card,708,615,950
454,,5,Credit Card,1989,328,458
455,10/3/2023,1,Gift,600,182,238
456,4/6/2024,2,Debit Card,1554,540,756
457,11/19/2023,5,Credit Card,1374,404,583
458,9/10/2024,2,AutopayMobile Payment,1513,53,971
459,5/24/2024,2,AutopayMobile Payment,128,677,374
460,3/11/2024,5,Credit Card,269,765,698
461,9/5/2024,5,AutopayMobile Payment,1652,514,277
462,7/18/2024,2,AutopayMobile Payment,1285,831,721
463,8/18/2024,4,Cash,157,194,157
464,8/16/2024,2,Credit Card,1417,602,651
465,5/6/2024,1,Credit Card,1903,139,889
466,,5,Debit Card,205,467,997
467,6/19/2024,1,AutopayMobile Payment,1748,773,159
468,11/22/2023,,Debit Card,1614,73,270
469,7/22/2024,3,Credit Card,803,164,814
470,9/13/2024,1,Gift,905,357,615
471,5/17/2024,1,Debit Card,465,668,912
472,12/10/2023,4,AutopayMobile Payment,1132,530,868
473,,2,Gift,851,380,901
474,12/17/2023,1,AutopayMobile Payment,931,744,923
475,3/5/2024,1,Debit Card,425,907,583
476,8/7/2024,5,AutopayMobile Payment,1702,955,318
477,1/7/2024,3,AutopayMobile Payment,26,57,105
478,4/4/2024,4,Cash,959,496,900
479,12/21/2023,2,Debit Card,603,837,82
480,7/7/2024,3,Debit Card,332,590,556
481,5/23/2024,3,AutopayMobile Payment,481,130,340
482,3/13/2024,5,Debit Card,1010,350,958
483,10/25/2023,3,Credit Card,120,516,307
484,12/26/2023,1,AutopayMobile Payment,1154,118,293
485,7/6/2024,3,Cash,331,613,191
486,12/4/2023,1,Gift,1982,606,943
487,1/26/2024,5,Credit Card,1666,710,641
488,10/15/2023,1,Credit Card,1566,264,68
489,7/20/2024,2,AutopayMobile Payment,1004,496,580
490,8/21/2024,3,AutopayMobile Payment,873,775,138
491,8/23/2024,4,Cash,1201,991,136
492,11/21/2023,3,AutopayMobile Payment,1930,496,794
493,4/12/2024,5,Credit Card,209,255,384
494,,2,Credit Card,194,27,632
495,12/4/2023,1,Debit Card,1557,527,39
496,9/2/2024,1,Cash,1101,86,646
497,1/17/2024,2,Credit Card,320,91,780
498,9/13/2024,2,Credit Card,1921,957,839
499,7/13/2024,4,Credit Card,344,80,673
500,5/27/2024,4,AutopayMobile Payment,534,502,381
501,4/7/2024,1,Debit Card,1259,871,611
502,5/18/2024,2,Debit Card,182,929,775
503,6/13/2024,4,Debit Card,1735,788,134
504,6/1/2024,3,Cash,1208,150,306
505,7/18/2024,2,Debit Card,395,136,831
506,5/26/2024,4,Debit Card,742,361,146
507,3/24/2024,2,Gift,808,935,145
508,2/14/2024,4,,1722,726,685
509,1/29/2024,5,Credit Card,1082,476,545
510,3/27/2024,5,Gift,1158,781,41
511,4/4/2024,1,AutopayMobile Payment,1439,250,985
512,7/8/2024,3,AutopayMobile Payment,792,703,872
513,8/7/2024,1,Credit Card,728,157,918
514,1/8/2024,1,AutopayMobile Payment,840,956,423
515,,1,Gift,1437,790,22
516,11/11/2023,3,AutopayMobile Payment,540,638,294
517,3/24/2024,5,Gift,665,636,714
518,5/11/2024,5,Gift,1968,100,978
519,11/19/2023,4,Credit Card,1278,907,961
520,5/8/2024,5,Debit Card,342,816,919
521,3/31/2024,,Cash,325,894,639
522,5/21/2024,3,Debit Card,323,926,869
523,9/8/2024,2,AutopayMobile Payment,708,378,68
524,5/6/2024,2,Debit Card,529,588,359
525,10/29/2023,3,Credit Card,1305,468,795
526,11/8/2023,4,Credit Card,1469,589,583
527,3/16/2024,3,Credit Card,1752,888,800
528,7/19/2024,1,Debit Card,424,921,884
529,6/6/2024,2,AutopayMobile Payment,1564,882,73
530,4/4/2024,2,Cash,404,348,222
531,12/16/2023,2,Cash,512,576,115
532,3/28/2024,2,Debit Card,173,741,816
533,,3,Cash,28,568,137
534,7/11/2024,4,AutopayMobile Payment,416,750,438
535,6/16/2024,4,Cash,1006,284,123
536,10/4/2023,3,Gift,1916,125,423
537,12/24/2023,4,AutopayMobile Payment,477,581,294
538,5/15/2024,5,Gift,1823,758,352
539,7/15/2024,3,Gift,1538,378,767
540,9/19/2024,3,Gift,1072,520,778
541,7/22/2024,1,Gift,174,289,9
542,,4,Cash,863,990,76
543,3/10/2024,2,AutopayMobile Payment,1822,760,946
544,2/8/2024,3,Cash,854,38,120
545,1/11/2024,3,Credit Card,607,678,340
546,,2,Credit Card,180,334,432
547,10/4/2023,3,Credit Card,696,2,37
548,11/14/2023,2,AutopayMobile Payment,1256,905,147
549,11/30/2023,1,Gift,1325,530,4
550,2/4/2024,1,Cash,199,881,470
551,8/1/2024,2,Cash,716,51,235
552,2/2/2024,3,Credit Card,1246,994,851
553,,5,AutopayMobile Payment,1388,294,465
554,10/1/2023,3,Credit Card,724,354,445
555,12/12/2023,1,Credit Card,696,277,551
556,8/10/2024,2,Debit Card,1345,481,872
557,,2,Debit Card,374,144,164
558,3/11/2024,4,Gift,285,616,233
559,6/22/2024,1,Cash,1324,413,355
560,5/4/2024,2,Credit Card,368,559,408
561,6/22/2024,1,Gift,1834,438,337
562,1/17/2024,3,AutopayMobile Payment,1555,540,497
563,11/5/2023,5,Credit Card,11,178,792
564,6/9/2024,1,Debit Card,856,209,997
565,1/10/2024,1,Debit Card,190,834,465
566,10/20/2023,5,Cash,288,407,194
567,11/15/2023,4,Cash,1731,978,648
568,10/23/2023,4,Cash,1267,703,630
569,8/20/2024,1,Credit Card,1354,122,716
570,9/3/2024,4,Cash,1329,179,620
571,7/20/2024,5,Cash,1735,323,684
572,8/12/2024,4,Gift,479,687,537
573,12/26/2023,5,Cash,1497,814,844
574,8/7/2024,4,Debit Card,477,143,340
575,11/16/2023,4,Gift,1179,550,347
576,2/23/2024,2,Gift,748,896,814
577,3/10/2024,5,Gift,1254,303,159
578,3/28/2024,5,Debit Card,1911,391,188
579,12/12/2023,1,AutopayMobile Payment,305,156,79
580,10/16/2023,2,AutopayMobile Payment,245,921,67
581,10/13/2023,2,Gift,1513,945,961
582,8/3/2024,2,Cash,1864,185,499
583,10/31/2023,1,AutopayMobile Payment,376,567,995
584,8/3/2024,2,Cash,382,749,558
585,8/23/2024,1,Credit Card,1216,240,41
586,11/14/2023,1,Cash,1469,595,423
587,5/3/2024,,Debit Card,300,935,616
588,7/6/2024,5,Cash,824,173,873
589,4/9/2024,2,Gift,1822,229,19
590,9/27/2023,,Gift,30,48,654
591,9/15/2024,3,,689,664,330
592,9/7/2024,5,Debit Card,1430,742,734
593,10/21/2023,4,AutopayMobile Payment,836,142,272
594,5/12/2024,2,Cash,886,849,583
595,3/29/2024,5,Cash,1553,738,532
596,1/24/2024,2,Cash,622,277,950
597,10/12/2023,3,Debit Card,1386,297,824
